machine_model_id,manufacturer,model,machine_category,process,capacity,energy_source,throughput,brochure_url,datasheet_url,version,effective_date,expiry_date,source,approval_status,confidence
MMODR-013,machine_recommender,Multi-head Embroidery Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M017); pending real brochure,Pending Validation,0.5
MMODR-014,machine_recommender,Single Head Embroidery Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M018); pending real brochure,Pending Validation,0.5
MMODR-015,machine_recommender,Single Needle Lockstitch Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M019); pending real brochure,Pending Validation,0.5
MMODR-016,machine_recommender,Overlock Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M020); pending real brochure,Pending Validation,0.5
MMODR-017,machine_recommender,Flatlock Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M021); pending real brochure,Pending Validation,0.5
MMODR-018,machine_recommender,Button Hole Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M022); pending real brochure,Pending Validation,0.5
MMODR-019,machine_recommender,Button Stitch Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M023); pending real brochure,Pending Validation,0.5
MMODR-020,machine_recommender,Zipper Attachment Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M024); pending real brochure,Pending Validation,0.5
MMODR-021,machine_recommender,Bartack Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M025); pending real brochure,Pending Validation,0.5
MMODR-022,machine_recommender,Feed-off-the-arm Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M026); pending real brochure,Pending Validation,0.5
MMODR-023,machine_recommender,Thread Trimmer,Stenter Machine,Finishing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M027); pending real brochure,Pending Validation,0.5
MMODR-024,machine_recommender,Automatic Thread Trimmer,Stenter Machine,Finishing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M028); pending real brochure,Pending Validation,0.5
MMODR-025,machine_recommender,Steam Iron,Ironing Machine,Ironing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M029); pending real brochure,Pending Validation,0.5
MMODR-026,machine_recommender,Vacuum Ironing Table,Ironing Machine,Ironing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M030); pending real brochure,Pending Validation,0.5
MMODR-027,machine_recommender,Steam Press Machine,Ironing Machine,Ironing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M031); pending real brochure,Pending Validation,0.5
MMODR-028,machine_recommender,Finishing Tunnel,Ironing Machine,Ironing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M032); pending real brochure,Pending Validation,0.5
MMODR-029,machine_recommender,Folding Machine,Ring Frame,Knitting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M035); pending real brochure,Pending Validation,0.5
MMODR-030,machine_recommender,Manual Folding Table,Ring Frame,Knitting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M036); pending real brochure,Pending Validation,0.5
MMODR-031,machine_recommender,Poly Bag Packing Machine,Ring Frame,Knitting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M037); pending real brochure,Pending Validation,0.5
MMODR-032,machine_recommender,Carton Sealing Machine,Ring Frame,Knitting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M038); pending real brochure,Pending Validation,0.5
MMODR-033,machine_recommender,Shrink Wrap Machine,Ring Frame,Knitting,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M039); pending real brochure,Pending Validation,0.5
MMODR-034,machine_recommender,Fusing Machine,Jet Dyeing Machine,Dyeing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M040); pending real brochure,Pending Validation,0.5
MMODR-035,machine_recommender,Label Printing Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M041); pending real brochure,Pending Validation,0.5
MMODR-036,machine_recommender,Label Attaching Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M042); pending real brochure,Pending Validation,0.5
MMODR-037,machine_recommender,Washing Machine,Washing Machine,Washing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M043); pending real brochure,Pending Validation,0.5
MMODR-038,machine_recommender,Dryer,Drying Machine,Drying,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M044); pending real brochure,Pending Validation,0.5
MMODR-039,machine_recommender,Stone Wash Machine,Washing Machine,Washing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M045); pending real brochure,Pending Validation,0.5
MMODR-040,machine_recommender,Sandblasting Machine,Stenter Machine,Finishing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M046); pending real brochure,Pending Validation,0.5
MMODR-041,machine_recommender,Snap Fastener Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M047); pending real brochure,Pending Validation,0.5
MMODR-042,machine_recommender,Elastic Attachment Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M048); pending real brochure,Pending Validation,0.5
MMODR-043,machine_recommender,Interlock Stitch Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M049); pending real brochure,Pending Validation,0.5
MMODR-044,machine_recommender,Blind Stitch Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M050); pending real brochure,Pending Validation,0.5
MMODR-045,machine_recommender,Eyelet Press Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M051); pending real brochure,Pending Validation,0.5
MMODR-046,machine_recommender,Drawcord Inserting Machine,Lockstitch Machine,Sewing,,Electricity,TBD from brochure,TBD_PUBLIC_BROCHURE_REQUIRED,TBD_PUBLIC_DATASHEET_REQUIRED,0.1,2026-06-12,,machine_recommender bridge (M052); pending real brochure,Pending Validation,0.5
