route_id,route_version,taxonomy_ids,route_name,step_order,process_id,process_name,process_group,input,output,required_for,default_machine_ids,default_machine_names,consumables,energy_model_machine_ids,water_model_process,chemical_model_process,yield_model_process,default_country,transport_leg_after,inference_triggers,optionality,confidence_prior,kg_source_status,notes
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,1,PROC-EXT-101,Synthetic Fiber Production,Fiber Production,Polymer chips,Staple fiber or filament yarn,Synthetic knit products,,Extrusion and spinning line,Electricity|Process heat,,,,,China,Truck to yarn/fabric mill,"polyester|recycled polyester|elastane|nylon|filament",Required,0.62,V1 inferred,"Add formal synthetic fiber process nodes in KG V3."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,2,PROC-EXT-102,Texturing or Yarn Preparation,Yarn Production,Filament yarn,Textured yarn,Synthetic knits,,Texturing machine,Electricity,,,,,China,Truck to knitting mill,"DTY|textured yarn|microfiber|performance yarn",Conditional,0.58,V1 inferred,"Skip when BOM indicates spun polyester/cotton blend yarn."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,3,PROC004,Knitting,Fabric Production,Yarn,Greige knitted fabric,Synthetic knit apparel,MCH010,Circular Knitting Machine,Electricity,MCH010,,,Knitting,Vietnam,Truck to dyehouse,"jersey|interlock|warp knit|mesh|stretch knit",Required,0.82,KG-backed,"KG machine/energy/yield applied even when material is synthetic."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,4,PROC-EXT-103,Heat Setting,Fabric Preparation,Greige synthetic fabric,Heat-set fabric,Synthetic stretch fabrics,MCH013,Stenter Machine,Electricity,MCH013,,,,Vietnam,None,"heat set|dimensional stability|elastane|stretch",Conditional,0.6,V1 inferred,"Use when elastane/stretch or heat-set appears in tech pack."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,5,PROC-EXT-104,Disperse Dyeing,Wet Processing,Prepared synthetic fabric,Dyed fabric,Synthetic colored fabrics,MCH011,Jet Dyeing Machine,Electricity|Water|Disperse Dye|Auxiliaries,MCH011,Reactive Dyeing,,Dyeing,Vietnam,Truck to finishing,"disperse dye|polyester dye|piece dyed|solid color",Required,0.56,V1 inferred,"Temporarily reuses reactive dyeing water/energy model until disperse model exists."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,6,PROC007,Finishing,Wet Processing,Dyed fabric,Finished fabric,Synthetic knit apparel,MCH013|MCH014,Stenter Machine|Compactor Machine,Electricity|Water|Softener,MCH013,Finishing,Finishing,,Vietnam,Truck to garment factory,"wicking finish|softener|anti odor|finish",Required,0.74,KG-backed,"Chemical package may need product-specific additives."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,7,PROC008,Cutting,Garment Manufacturing,Finished fabric,Cut panels,All apparel,MCH015|MCH016,Fabric Spreading Machine|CNC Fabric Cutter,Electricity,MCH016,,,Cutting,Vietnam,None,"cut panels|marker|spreading",Required,0.86,KG-backed,"Yield model Cutting 0.85."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,8,PROC009,Sewing,Garment Manufacturing,Cut panels,Garment,All apparel,MCH017|MCH018,Lockstitch Machine|Overlock Machine,Electricity,MCH017,,,Sewing,Vietnam,Truck to packing,"sewing|flatlock|overlock|assembly",Required,0.86,KG-backed,"Sportswear may require flatlock machine in future machine library."
ROUTE-APP-KNT-SYNTH-001,V2,TAX-APP-KNT-TSH-002|TAX-APP-KNT-LEG-001|TAX-APP-KNT-SRT-001|TAX-APP-UND-BRA-001,Synthetic knit apparel route,9,PROC010,Packaging,Garment Manufacturing,Garment,Packed garment,All finished goods,MCH020,Packing Conveyor,Carton,,,,,Vietnam,Export transport,"packing|polybag|carton",Required,0.86,KG-backed,"Packaging row retained from KG."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,1,PROC001,Cotton or Cellulosic Fiber Production,Fiber Production,Fiber source,Prepared fiber,Woven cellulosic products,MCH001|MCH002,Tractor|Irrigation Pump,Diesel|Water|Fertilizer,,Cotton Farming,,,"India",Truck to fiber prep,"cotton|viscose|modal|lyocell|cellulosic",Conditional,0.68,Partially KG-backed,"For regenerated fibers replace farming with pulp/fiber production once KG supports it."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,2,PROC003,Ring Spinning,Yarn Production,Fiber,Yarn,Woven cellulosic products,MCH005|MCH006|MCH008|MCH009,Blow Room Machine|Carding Machine|Ring Frame|Cone Winder,Electricity|Compressed Air,MCH008,,,,"Bangladesh",Truck to weaving mill,"spun yarn|cotton yarn|viscose yarn",Required,0.76,KG-backed,"Ring spinning KG used for cotton-rich woven products."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,3,PROC-EXT-201,Warping and Sizing,Yarn Preparation,Yarn,Warp beam,Woven fabrics,,Warping machine|Sizing range,Electricity|Sizing chemicals,,,,,Bangladesh,None,"woven|warp|sizing|beam",Required,0.58,V1 inferred,"Add process and chemical models in route library V3."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,4,PROC-EXT-202,Weaving,Fabric Production,Warp and weft yarn,Greige woven fabric,Woven apparel,,Rapier loom|Air jet loom,Electricity,,,,Weaving,Bangladesh,Truck to dyehouse,"woven|poplin|twill|plain weave|loom",Required,0.58,V1 inferred,"Yield assumption 0.96 held in template because KG lacks weaving yield row."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,5,PROC005,Pretreatment,Wet Processing,Greige woven fabric,Prepared fabric,Woven dyed apparel,,Pretreatment range,Electricity|Water|Caustic Soda|Wetting Agent,,Pretreatment,Pretreatment,Dyeing,Bangladesh,None,"scouring|bleaching|mercerizing|prepared",Required,0.78,KG-backed,"KG wet processing model applied to woven fabric."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,6,PROC006,Reactive Dyeing,Wet Processing,Prepared fabric,Dyed fabric,Cellulosic woven apparel,MCH011,Jet Dyeing Machine,Electricity|Water|Reactive Dye|Salt|Soda Ash,MCH011,Reactive Dyeing,Reactive Dyeing,Dyeing,Bangladesh,Truck to finishing,"reactive dye|piece dyed|solid color",Required,0.78,KG-backed,"Use print route later when tech pack specifies allover print."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,7,PROC007,Finishing,Wet Processing,Dyed fabric,Finished fabric,Woven apparel,MCH013,Stenter Machine,Electricity|Water|Softener,MCH013,Finishing,Finishing,,Bangladesh,Truck to garment factory,"stenter|finish|softener",Required,0.78,KG-backed,"Stenter is core default machine."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,8,PROC008,Cutting,Garment Manufacturing,Finished fabric,Cut panels,Woven apparel,MCH015|MCH016,Fabric Spreading Machine|CNC Fabric Cutter,Electricity,MCH016,,,Cutting,Bangladesh,None,"marker|cut panels|spreading",Required,0.86,KG-backed,"Cutting yield 0.85."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,9,PROC009,Sewing,Garment Manufacturing,Cut panels,Garment,Woven apparel,MCH017|MCH018|MCH019,Lockstitch Machine|Overlock Machine|Button Machine,Electricity,MCH017,,,Sewing,Bangladesh,Truck to packing,"sewing|buttons|collar|cuff|waistband",Required,0.84,KG-backed,"Use button machine when button/placket detected."
ROUTE-APP-WVN-CELL-001,V2,TAX-APP-WVN-SHT-001|TAX-APP-WVN-CHN-001|TAX-APP-WVN-DRS-001,Woven cellulosic apparel route,10,PROC010,Packaging,Garment Manufacturing,Garment,Packed garment,Finished goods,MCH020,Packing Conveyor,Carton,,,,,Bangladesh,Export transport,"packing|polybag|carton|hanger",Required,0.86,KG-backed,"Hanger packaging optional for dresses/shirts."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,1,PROC001,Cotton Farming,Fiber Production,Cotton seed,Seed cotton,Denim cotton input,MCH001|MCH002,Tractor|Irrigation Pump,Diesel|Water|Fertilizer,,Cotton Farming,,,"India",Truck to gin,"denim|cotton|jeans",Required,0.72,KG-backed,"KG cotton farming row reused."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,2,PROC002,Ginning,Fiber Preparation,Seed cotton,Cotton fiber,Denim cotton input,MCH003|MCH004,Cotton Gin|Bale Press,Electricity,,,,,"India",Truck to spinning,"ginning|cotton bales",Required,0.72,KG-backed,"KG ginning row reused."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,3,PROC003,Ring Spinning,Yarn Production,Cotton fiber,Cotton yarn,Denim yarn,MCH005|MCH006|MCH008|MCH009,Blow Room Machine|Carding Machine|Ring Frame|Cone Winder,Electricity|Compressed Air,MCH008,,,,"Bangladesh",Truck to denim mill,"ring spun denim|cotton yarn",Required,0.72,KG-backed,"Ring frame energy model applies."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,4,PROC-EXT-301,Indigo Yarn Dyeing,Wet Processing,Cotton yarn,Indigo dyed yarn,Denim fabric,,Indigo dye range,Electricity|Water|Indigo dye|Caustic Soda|Hydrosulfite,,Reactive Dyeing,,Dyeing,Bangladesh,None,"indigo|rope dye|slasher dye|denim",Required,0.52,V1 inferred,"Temporarily uses reactive dyeing water proxy; denim-specific model needed."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,5,PROC-EXT-201,Warping and Sizing,Yarn Preparation,Indigo yarn,Warp beam,Denim fabric,,Warping machine|Sizing range,Electricity|Sizing chemicals,,,,,Bangladesh,None,"warp|sizing|denim beam",Required,0.52,V1 inferred,"Sizing chemicals not yet in KG."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,6,PROC-EXT-202,Weaving,Fabric Production,Warp and weft yarn,Greige denim,Denim fabric,,Rapier loom|Air jet loom,Electricity,,,,Weaving,Bangladesh,Truck to finishing/laundry,"denim weaving|loom|twill",Required,0.52,V1 inferred,"Weaving process requires KG expansion."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,7,PROC007,Finishing,Wet Processing,Greige denim,Finished denim,Denim fabric,MCH013,Stenter Machine,Electricity|Water|Softener,MCH013,Finishing,Finishing,,Bangladesh,Truck to garment factory,"sanforize|finish|softener",Required,0.68,KG-backed,"Use stenter model as finishing proxy."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,8,PROC008,Cutting,Garment Manufacturing,Finished denim,Cut panels,Jeans,MCH015|MCH016,Fabric Spreading Machine|CNC Fabric Cutter,Electricity,MCH016,,,Cutting,Bangladesh,None,"jeans panels|marker|cutting",Required,0.82,KG-backed,"Denim marker efficiency can vary by fit."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,9,PROC009,Sewing,Garment Manufacturing,Cut panels,Assembled jeans,Jeans,MCH017|MCH018|MCH019,Lockstitch Machine|Overlock Machine|Button Machine,Electricity,MCH017,,,Sewing,Bangladesh,Truck to laundry,"sewing|rivets|fly|waistband|pockets",Required,0.8,KG-backed,"Rivet/button installation is represented as sewing complexity."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,10,PROC-EXT-302,Garment Washing and Finishing,Wet Processing,Assembled jeans,Washed jeans,Denim garments,,Industrial washer|Tumble dryer,Electricity|Water|Enzymes|Softener,,Finishing,Finishing,,Bangladesh,Truck to packing,"stone wash|enzyme wash|rinse wash|laser|whisker",Conditional,0.48,V1 inferred,"Only include when wash treatment is stated or jeans default applies."
ROUTE-APP-WVN-DENIM-001,V2,TAX-APP-WVN-DEN-001,Denim jeans route,11,PROC010,Packaging,Garment Manufacturing,Garment,Packed garment,Finished goods,MCH020,Packing Conveyor,Carton,,,,,Bangladesh,Export transport,"packing|carton|polybag",Required,0.84,KG-backed,"Packaging default from KG."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,1,PROC-EXT-101,Synthetic Fiber Production,Fiber Production,Polymer chips,Filament yarn,Synthetic woven shell,,Extrusion and spinning line,Electricity|Process heat,,,,,China,Truck to weaving mill,"polyester shell|nylon shell|recycled polyester",Required,0.5,V1 inferred,"Upstream synthetic route placeholder."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,2,PROC-EXT-201,Warping and Sizing,Yarn Preparation,Filament yarn,Warp beam,Woven shell,,Warping machine|Sizing range,Electricity|Sizing chemicals,,,,,China,None,"woven shell|ripstop|taffeta",Required,0.48,V1 inferred,"Needs synthetic woven process model."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,3,PROC-EXT-202,Weaving,Fabric Production,Warp and weft yarn,Greige woven shell,Woven shell,,Rapier loom|Air jet loom,Electricity,,,,Weaving,China,Truck to dye/coating,"woven|ripstop|plain weave|loom",Required,0.48,V1 inferred,"Weaving energy currently unspecified."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,4,PROC-EXT-104,Disperse Dyeing,Wet Processing,Greige woven shell,Dyed shell,Synthetic shell,MCH011,Jet Dyeing Machine,Electricity|Water|Disperse Dye|Auxiliaries,MCH011,Reactive Dyeing,,Dyeing,China,None,"disperse dye|piece dyed|solid shell",Required,0.5,V1 inferred,"Proxy to KG jet dyeing energy."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,5,PROC-EXT-401,Coating or DWR Finish,Finishing,Dyed shell,Finished shell,Outerwear shell,MCH013,Stenter or coating range,Electricity|Water|DWR chemicals|Binder,MCH013,Finishing,Finishing,,China,Truck to garment factory,"DWR|coating|lamination|water repellent",Conditional,0.42,V1 inferred,"Only include when shell, waterproof, coated, or DWR is detected."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,6,PROC008,Cutting,Garment Manufacturing,Finished shell,Cut panels,Outerwear,MCH015|MCH016,Fabric Spreading Machine|CNC Fabric Cutter,Electricity,MCH016,,,Cutting,Vietnam,None,"cut panels|marker|shell panels",Required,0.78,KG-backed,"KG cutting model applied."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,7,PROC009,Sewing,Garment Manufacturing,Cut panels,Jacket,Outerwear,MCH017|MCH018,Lockstitch Machine|Overlock Machine,Electricity,MCH017,,,Sewing,Vietnam,Truck to packing,"zipper|lining|seam|hood|pocket",Required,0.76,KG-backed,"Special seam taping not included unless detected."
ROUTE-APP-WVN-SYNTH-001,V2,TAX-APP-OUT-JKT-001,Synthetic woven outerwear route,8,PROC010,Packaging,Garment Manufacturing,Jacket,Packed garment,Finished goods,MCH020,Packing Conveyor,Carton,,,,,Vietnam,Export transport,"packing|carton|polybag",Required,0.8,KG-backed,"Packaging default."
ROUTE-APP-KNT-HOSIERY-001,V2,TAX-APP-ACC-SCK-001,Hosiery sock route,1,PROC-EXT-501,Yarn Preparation,Yarn Production,Fiber or filament yarn,Hosiery yarn,Socks,,Yarn winding and blending,Electricity,,,,,China,Truck to hosiery mill,"sock yarn|cotton poly elastane|hosiery",Required,0.44,V1 inferred,"Needs hosiery yarn model."
ROUTE-APP-KNT-HOSIERY-001,V2,TAX-APP-ACC-SCK-001,Hosiery sock route,2,PROC-EXT-502,Hosiery Knitting,Fabric Production,Hosiery yarn,Knitted sock tube,Socks,,Circular sock knitting machine,Electricity,,,,Knitting,China,None,"sock|hosiery|rib|knit tube",Required,0.44,V1 inferred,"Machine not yet in KG; yield proxy from knitting."
ROUTE-APP-KNT-HOSIERY-001,V2,TAX-APP-ACC-SCK-001,Hosiery sock route,3,PROC-EXT-503,Toe Closing,Sewing,Knitted sock tube,Closed sock,Socks,,Toe closing machine,Electricity,,,,Sewing,China,None,"toe close|linking|seamless toe",Required,0.42,V1 inferred,"Sewing energy proxy can be applied later."
ROUTE-APP-KNT-HOSIERY-001,V2,TAX-APP-ACC-SCK-001,Hosiery sock route,4,PROC-EXT-504,Dyeing or Washing,Wet Processing,Greige sock,Dyed or washed sock,Socks,MCH011,Jet dyeing or garment washer,Electricity|Water|Dye|Softener,MCH011,Reactive Dyeing,Reactive Dyeing,Dyeing,China,Truck to boarding,"piece dyed sock|washed sock|solid color",Conditional,0.42,V1 inferred,"Skip for yarn dyed socks."
ROUTE-APP-KNT-HOSIERY-001,V2,TAX-APP-ACC-SCK-001,Hosiery sock route,5,PROC-EXT-505,Boarding and Pairing,Finishing,Dyed sock,Finished pair,Socks,,Sock boarding machine,Electricity,,,,,China,Truck to packing,"boarding|pairing|size set",Required,0.4,V1 inferred,"Hosiery finishing placeholder."
ROUTE-APP-KNT-HOSIERY-001,V2,TAX-APP-ACC-SCK-001,Hosiery sock route,6,PROC010,Packaging,Garment Manufacturing,Finished pair,Packed pair,Finished goods,MCH020,Packing Conveyor,Carton,,,,,China,Export transport,"paper band|carton|polybag",Required,0.78,KG-backed,"Packaging from KG."
ROUTE-FW-SNK-CEMENT-001,V2,TAX-FW-SNK-CAS-001|TAX-FW-SNK-RUN-001|TAX-FW-BOT-ANK-001,Cemented sneaker and boot route,1,PROC-EXT-601,Upper Material Preparation,Material Preparation,Upper materials,Prepared upper rolls or sheets,Footwear uppers,,Textile/leather prep line,Electricity|Adhesive primers,,,,,China,Truck to cutting,"upper|mesh|synthetic leather|lining",Required,0.4,V1 inferred,"Footwear process library does not exist yet."
ROUTE-FW-SNK-CEMENT-001,V2,TAX-FW-SNK-CAS-001|TAX-FW-SNK-RUN-001|TAX-FW-BOT-ANK-001,Cemented sneaker and boot route,2,PROC-EXT-602,Upper Cutting,Footwear Manufacturing,Prepared upper material,Cut upper components,Footwear uppers,,Die cutter|CNC cutter,Electricity,,,"",Cutting,Vietnam,None,"upper cutting|die cut|pattern pieces",Required,0.4,V1 inferred,"Can reuse apparel cutting yield as temporary proxy."
ROUTE-FW-SNK-CEMENT-001,V2,TAX-FW-SNK-CAS-001|TAX-FW-SNK-RUN-001|TAX-FW-BOT-ANK-001,Cemented sneaker and boot route,3,PROC-EXT-603,Upper Stitching,Footwear Manufacturing,Cut upper components,Stitched upper,Footwear uppers,,Post-bed sewing machine|Flat sewing machine,Electricity,,,,Sewing,Vietnam,Truck to assembly,"upper stitching|quarter|vamp|tongue|lining",Required,0.4,V1 inferred,"Sewing model proxy; footwear machines to be added."
ROUTE-FW-SNK-CEMENT-001,V2,TAX-FW-SNK-CAS-001|TAX-FW-SNK-RUN-001|TAX-FW-BOT-ANK-001,Cemented sneaker and boot route,4,PROC-EXT-604,Sole Molding,Footwear Manufacturing,EVA/rubber compounds,Molded midsole and outsole,Footwear soles,,Injection molding press|Compression molding press,Electricity|Process heat|Mold release,,,,,Vietnam,Truck to assembly,"midsole|outsole|EVA|rubber|molded",Required,0.34,V1 inferred,"Major impact driver; needs energy and material models."
ROUTE-FW-SNK-CEMENT-001,V2,TAX-FW-SNK-CAS-001|TAX-FW-SNK-RUN-001|TAX-FW-BOT-ANK-001,Cemented sneaker and boot route,5,PROC-EXT-605,Lasting,Footwear Assembly,Stitched upper,Lasted upper,Footwear assembly,,Lasting machine,Electricity|Steam,,,,,Vietnam,None,"lasting|lasted upper|toe lasting",Required,0.36,V1 inferred,"Footwear-specific operation."
ROUTE-FW-SNK-CEMENT-001,V2,TAX-FW-SNK-CAS-001|TAX-FW-SNK-RUN-001|TAX-FW-BOT-ANK-001,Cemented sneaker and boot route,6,PROC-EXT-606,Cementing and Sole Attachment,Footwear Assembly,Lasted upper and sole,Assembled shoe,Footwear assembly,,Cementing line|Press,Electricity|Adhesive|Primer|Solvent,,,,,Vietnam,None,"cemented|sole attach|adhesive|press",Required,0.34,V1 inferred,"Adhesive model should be added to chemical library."
